Model,Phase,Accuracy,Accuracy_Std,Precision,Precision_Std,Recall,Recall_Std,F1,F1_Std
Naïve Bayes,Without_Preprocessing,0.2230963480963481,0.03507644342058551,0.2016916645602564,0.011627749280164487,0.2230963480963481,0.03507644342058551,0.207246060736694,0.022447413197803207
Random Forest,Without_Preprocessing,0.21616161616161617,0.025546492876928215,0.21758638798499663,0.02426539517950716,0.21616161616161617,0.025546492876928215,0.21429492080647344,0.020007218276493873
SVM,Without_Preprocessing,0.2203671328671329,0.020026347166498825,0.22024423151714906,0.011981257785976083,0.2203671328671329,0.020026347166498825,0.21530923521140313,0.010472129783838605
KNN,Without_Preprocessing,0.32363053613053616,0.020933926252795335,0.27412813745534037,0.02630968619663784,0.32363053613053616,0.020933926252795335,0.28532341153572527,0.016815110826892073
AdaBoost,Without_Preprocessing,0.4365384615384615,0.008096202687027437,0.40810396214833544,0.069162426439307,0.4365384615384615,0.008096202687027437,0.37037167153333417,0.013762074662364131
XGBoost,Without_Preprocessing,0.21056721056721056,0.02597977435209433,0.21496522761882622,0.03182398177507074,0.21056721056721056,0.02597977435209433,0.21102046789289788,0.02530756007087179
Neural Network - MLP,Without_Preprocessing,0.22452408702408705,0.023213133912774103,0.21569296020186698,0.026554406520087972,0.22452408702408705,0.023213133912774103,0.21848781431861783,0.019811223165394964
