Model,Phase,Accuracy,Accuracy_Std,Precision,Precision_Std,Recall,Recall_Std,F1,F1_Std
Gaussian NB,Full_Training,0.17289238539238538,0.023075263388055916,0.21319163014534323,0.032941316889653585,0.17289238539238538,0.023075263388055916,0.1872553571782103,0.023135950399324753
Random Forest,Full_Training,0.2077991452991453,0.020726140720757416,0.22261907036094497,0.03186343635257763,0.2077991452991453,0.020726140720757416,0.2098117130062201,0.016739653986076457
SVM,Full_Training,0.2203671328671329,0.020026347166498825,0.22024423151714906,0.011981257785976083,0.2203671328671329,0.020026347166498825,0.21530923521140313,0.010472129783838605
KNN,Full_Training,0.32363053613053616,0.020933926252795335,0.27412813745534037,0.02630968619663784,0.32363053613053616,0.020933926252795335,0.28532341153572527,0.016815110826892073
AdaBoost,Full_Training,0.4365384615384615,0.008096202687027437,0.40810396214833544,0.069162426439307,0.4365384615384615,0.008096202687027437,0.37037167153333417,0.013762074662364131
XGBoost,Full_Training,0.21195609945609947,0.03072596005401294,0.21240942085765396,0.017917526635290504,0.21195609945609947,0.03072596005401294,0.2100978001698274,0.01926158856466576
Neural Network - MLP,Full_Training,0.22311577311577313,0.027882018833488065,0.2235469948867413,0.018653906086494428,0.22311577311577313,0.027882018833488065,0.2183219088229432,0.012715769321371468
